Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
BG441,Triple Slimming Advance Step 3 - Bulk - Revival Point LLC,cap,0.00,"385,000.00",0.00,0.00,0.00,"385,000.00",0.00,"385,000.00"
BG442,Flexacil - Bulk - Big Health LLC,cap,0.00,0.00,0.00,0.00,0.00,"1,007,000.00",0.00,0.00
BG443,Autoimmune Mushroom Formula - Bulk - Wild Wholistic Inc.,cap,0.00,"391,437.00",0.00,0.00,0.00,"392,000.00",0.00,"391,437.00"
BG444,Lymph Flo - Bulk - Health Secrets LLC,cap,0.00,"665,500.00",0.00,0.00,0.00,"666,000.00",0.00,"665,500.00"
CS#5005,Potassium Iodate,kg,30.697,0.00,0.00,0.00,30.697,0.00,0.00,0.00
CS#5024,Bovine Chondroitin Sulfate Sodium 90%,kg,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
CS#5026,Boswella Serrata 65% - Eversco LTD,kg,6.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00
CS#5027,Magnesium Ascorbate 20%,kg,7.333,0.00,0.00,0.00,7.333,0.00,0.00,0.00
CS#5028,Buckwheat Powder,kg,46.335,0.00,0.00,0.00,46.335,0.00,0.00,0.00
CS#5031,Calcium Aspartate 25%,kg,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
CS#5032,CoQ10,kg,3.07,0.00,0.00,0.00,3.07,0.00,0.00,0.00
CS#5038,L-Arginine AKG 2:1 Dihydrate,kg,4.593,0.00,0.00,0.00,4.593,0.00,0.00,0.00
CS#5061,Ginger Root Powder,kg,7.225,0.00,0.00,0.00,7.225,0.00,0.00,0.00
CS#5063,Wild Yam Root P.E. 4:1,kg,4.352,0.00,4.352,0.00,0.00,0.00,0.00,0.00
CS#5071,Beef Pancreatin USP F.S. Powder,kg,0.00,55.00,0.00,0.00,0.00,0.00,0.00,55.00
CS#5078,Inositol,kg,19.50,0.00,0.00,0.00,19.50,0.00,0.00,0.00
CS#5079,L-Lysine Monohydrochloride,kg,1.878,0.00,1.878,0.00,0.00,0.00,0.00,0.00
CS#5089,Chromium Aspartate (Cr 2%) Aspartic Acid,kg,22.20,0.00,0.00,0.00,22.20,0.00,0.00,0.00
CS#5091,MCH-Cal Microcrystalline Hydroxyappetite Calcium,kg,7.50,0.00,7.50,0.00,0.00,0.00,0.00,0.00
